,Antiguedad del negocio,¿Cuántos productos aproximadamente maneja en su tienda?,En promedio ¿cada cuanto realiza pedidos a sus proveedores o compra sus productos? (Use la cifra más cercana),¿Qué forma de pago permite a sus clientes?,"¿Ha participado en algún plan de colaboración con otras tiendas o empresas? 
(por ejemplo, esfuerzos conjuntos de marketing, compras al por mayor, servicios de entrega compartidos)",En los últimos seis meses ¿ha implementado alguna tecnología digital en su negocio?,"En caso de una respuesta afirmativa a la pregunta anterior, especifique los tipos de tecnología implementados",¿A través de cuáles de los siguientes medios se comunicas con los proveedores?,¿A través de cuáles de los siguientes medios recibes pedidos de los clientes?,¿Cuál es su grado de satisfacción con las soluciones tecnológicas que ha implantado en su tienda?,¿Consideran necesarias las iniciativas de los proveedores para ayudar a las tiendas a implantar soluciones tecnológicas de forma eficaz? ,¿Considera necesario el apoyo gubernamental para ayudar a las tiendas a implantar soluciones tecnológicas de forma eficaz? ,"¿Cuántos clientes, en promedio, recibe en un día entre semana?","¿Cuántos clientes, en promedio, recibe en un día del fin de semana?","En una escala de 1 a 10, ¿cómo evaluaría sus esfuerzos para reducir su impacto ambiental?"
901,Entre 3 y 5 años,500,2 veces a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas","Visitas personales, Mensajes de texto, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,Sí,No,50.0,15.0,9
902,Entre 6 meses y un año,8,1 vez a la semana,Efectivo,No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta","Visitas personales, Mensajería instantánea (Whatsapp, telegram, otros)",Visitas personales,Muy satisfecho,No,No,4.0,10.0,9
903,Entre 3 y 5 años,10,1 vez al día,Efectivo,No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta",Visitas personales,Visitas personales,Algo insatisfecho,No,No,10.0,25.0,6
904,Entre 0 y 6 meses,10,1 vez a la semana,"Efectivo, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",Sí,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta","Mensajes de texto, Mensajería instantánea (Whatsapp, telegram, otros), Redes sociales (Facebook, Instagram, otros)","Visitas personales, Llamadas telefónicas, Mensajes de texto, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Software o plataformas compartidas",Algo insatisfecho,Sí,Sí,20.0,10.0,8
905,Entre 3 y 5 años,200,2 veces a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas","Visitas personales, Mensajes de texto, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,Sí,No,50.0,25.0,9
906,Más de 5 años,32,2 veces a la semana,Efectivo,No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas, Mensajes de texto",Visitas personales,Algo insatisfecho,No,Sí,17.0,20.0,5
907,Más de 5 años,500,1 vez a la semana,Efectivo,No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros)",Visitas personales,Algo satisfecho,Sí,No,50.0,50.0,8
908,Más de 5 años,100,3,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea","Visitas personales, Llamadas telefónicas, Mensajes de texto, Correo electrónico, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Mensajes de texto, Correo electrónico, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,Sí,No,100.0,75.0,10
909,Entre 3 y 5 años,150,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea","Visitas personales, Mensajería instantánea (Whatsapp, telegram, otros), Redes sociales (Facebook, Instagram, otros)","Visitas personales, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,Sí,No,55.0,25.0,9
910,Más de 5 años,100,2 veces a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras)","Visitas personales, Mensajes de texto, Correo electrónico, Mensajería instantánea (Whatsapp, telegram, otros), Software o plataformas compartidas","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,Sí,No,50.0,50.0,10
911,Entre 1 y 3 años,50,2 veces a la semana,"Efectivo, Tarjeta de debito",No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras)","Llamadas telefónicas, Mensajes de texto, Mensajería instantánea (Whatsapp, telegram, otros)","Mensajes de texto, Vídeollamada",Muy satisfecho,No,No,15.0,10.0,8
912,Entre 6 meses y un año,45,2 veces al mes,Efectivo,No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras)","Visitas personales, Llamadas telefónicas, Mensajes de texto","Mensajes de texto, Vídeollamada",Muy satisfecho,No,No,50.0,20.0,9
913,Entre 6 meses y un año,60,1 vez a la semana,Efectivo,No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras)","Visitas personales, Llamadas telefónicas","Mensajes de texto, Vídeollamada",Algo satisfecho,No,No,40.0,30.0,8
914,Entre 3 y 5 años,20,1 vez al día,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras)",Llamadas telefónicas,"Llamadas telefónicas, Mensajes de texto",Muy satisfecho,No,No,70.0,50.0,9
915,Entre 6 meses y un año,55,1 vez a la semana,"Efectivo, Tarjeta de debito",No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras)","Llamadas telefónicas, Mensajes de texto","Llamadas telefónicas, Mensajes de texto",Algo satisfecho,No,No,20.0,30.0,7
916,Entre 3 y 5 años,60,2 veces a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras)",Visitas personales,"Llamadas telefónicas, Mensajes de texto",Algo satisfecho,No,No,50.0,40.0,8
917,Más de 5 años,50,1 vez al día,Efectivo,No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras)","Visitas personales, Llamadas telefónicas",Visitas personales,Algo satisfecho,No,No,30.0,100.0,9
918,Entre 0 y 6 meses,500,1 vez al día,"Efectivo, Transferencia",No,Sí,Punto de venta,"Visitas personales, Mensajería instantánea (Whatsapp, telegram, otros)",Visitas personales,Muy satisfecho,No,No,200.0,300.0,8
919,Entre 3 y 5 años,500,1 vez a la semana,Efectivo,No,No,Punto de venta,Visitas personales,Visitas personales,Muy satisfecho,No,Sí,40.0,20.0,5
920,Más de 5 años,100,1 vez al día,"Efectivo, Transferencia",No,No,Punto de venta,Llamadas telefónicas,"Visitas personales, Llamadas telefónicas",Muy satisfecho,No,No,50.0,70.0,9
921,Más de 5 años,15,2 veces al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Terminal para el pago con tarjeta","Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,No,No,25.0,20.0,8
922,Más de 5 años,5,1 vez a la semana,Efectivo,No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Terminal para el pago con tarjeta",Visitas personales,"Visitas personales, Llamadas telefónicas",Muy satisfecho,No,No,25.0,50.0,8
923,Entre 1 y 3 años,15,2 veces al mes,"Efectivo, Transferencia",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras)",Visitas personales,"Visitas personales, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Algo satisfecho,No,No,3.0,2.0,9
924,Entre 3 y 5 años,20,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras)","Visitas personales, Llamadas telefónicas","Llamadas telefónicas, Mensajes de texto",Muy satisfecho,No,No,10.0,15.0,7
925,Entre 3 y 5 años,10,2 veces al mes,Efectivo,No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras)","Llamadas telefónicas, Mensajes de texto","Llamadas telefónicas, Mensajes de texto",Algo satisfecho,No,No,7.0,5.0,8
926,Entre 6 meses y un año,10,1 vez a la semana,Efectivo,No,No,Plataformas de pedidos en línea,Mensajes de texto,Mensajes de texto,Algo satisfecho,No,No,30.0,40.0,8
927,Entre 1 y 3 años,20,2 veces a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas, Mensajes de texto, Redes sociales (Facebook, Instagram, otros), Páginas web","Visitas personales, Mensajes de texto, Redes sociales (Facebook, Instagram, otros)",Muy satisfecho,No,No,35.0,40.0,8
928,Entre 1 y 3 años,30,1 vez a la semana,"Efectivo, Tarjeta de debito",No,No,"Plataformas de pedidos en línea, Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas, Mensajes de texto","Llamadas telefónicas, Mensajes de texto",Algo insatisfecho,No,No,20.0,15.0,8
929,Entre 6 meses y un año,5,1 vez a la semana,Efectivo,No,No,"Plataformas de pedidos en línea, Terminal para el pago con tarjeta","Visitas personales, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Algo insatisfecho,no aplica,no recibe apoyo del gobierno,43.0,57.0,3
930,Entre 1 y 3 años,7,1 vez a la semana,Efectivo,No,No,"Plataformas de pedidos en línea, Terminal para el pago con tarjeta",Visitas personales,Visitas personales,Algo insatisfecho,no ha recibido iniciativas de proveedores,no recibe apoyo,57.0,72.0,2
931,Entre 3 y 5 años,6,2 veces al mes,Efectivo,No,No,"Plataformas de pedidos en línea, Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas, Correo electrónico","Visitas personales, Mensajes de texto",Algo insatisfecho,No,no recibio ningun apoyo,55.0,70.0,3
932,Entre 1 y 3 años,8,2 veces al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito",Sí,No,"Plataformas de pedidos en línea, Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas, Correo electrónico, Mensajería instantánea (Whatsapp, telegram, otros)",Visitas personales,Algo insatisfecho,Sí,no dan el apoyo,38.0,62.0,4
933,Entre 1 y 3 años,15,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito",Sí,No,"Plataformas de pedidos en línea, Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas, Correo electrónico, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas",Algo insatisfecho,Sí,si sin embargo no han recibido apoyo,43.0,54.0,4
934,Entre 1 y 3 años,150,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito",Sí,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea","Visitas personales, Llamadas telefónicas, Mensajes de texto, Mensajería instantánea (Whatsapp, telegram, otros), Redes sociales (Facebook, Instagram, otros)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros)",Algo satisfecho,Sí,si pero no reciben nada del gobierno,56.0,72.0,7
935,Entre 6 meses y un año,80,1 vez al mes,"Efectivo, Tarjeta de debito",Sí,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea","Visitas personales, Llamadas telefónicas, Correo electrónico, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Mensajes de texto, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Algo satisfecho,Sí,No es proporcionado ,40.0,65.0,2
936,Entre 6 meses y un año,175,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea","Visitas personales, Llamadas telefónicas, Correo electrónico, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Algo satisfecho,No,Si pero en términos de permisos ,17.0,45.0,3
937,Entre 1 y 3 años,160,1 vez al mes,"Efectivo, Tarjeta de debito",Sí,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea","Visitas personales, Llamadas telefónicas, Correo electrónico, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Algo satisfecho,No,No,35.0,50.0,5
938,Más de 5 años,5,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito",Sí,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras)","Visitas personales, Llamadas telefónicas",Visitas personales,Algo satisfecho,No,No,20.0,10.0,8
939,Más de 5 años,50,2 veces al mes,"Efectivo, Tarjeta de debito, Transferencias",Sí,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras)","Mensajería instantánea (Whatsapp, telegram, otros), Redes sociales (Facebook, Instagram, otros)","Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Algo satisfecho,No,Sí,100.0,150.0,5
940,Más de 5 años,5,1 vez a la semana,Efectivo,No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras)","Llamadas telefónicas, Mensajes de texto",Mensajes de texto,Algo satisfecho,No,Sí,15.0,20.0,8
941,Entre 3 y 5 años,80,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,"Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta","Llamadas telefónicas, Mensajes de texto, Correo electrónico","Visitas personales, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Algo satisfecho,No,No,25.0,20.0,7
942,Entre 3 y 5 años,65,1 vez al mes,Efectivo,No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras)","Llamadas telefónicas, Correo electrónico","Visitas personales, Llamadas telefónicas",Algo satisfecho,Sí,Sí,60.0,40.0,7
943,Entre 6 meses y un año,30,2 veces al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta","Visitas personales, Mensajes de texto","Visitas personales, Llamadas telefónicas, Mensajes de texto, Redes sociales (Facebook, Instagram, otros)",Algo satisfecho,No,No,30.0,55.0,8
944,Entre 1 y 3 años,100,2 veces a la semana,Efectivo,Sí,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas, Mensajes de texto, Páginas web",Visitas personales,Muy satisfecho,No,No,80.0,100.0,9
945,Entre 6 meses y un año,30,1 vez al mes,Efectivo,No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta",Llamadas telefónicas,Visitas personales,Algo satisfecho,No,No,20.0,30.0,7
946,Entre 1 y 3 años,30,2 veces a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,Sí,"Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros), Redes sociales (Facebook, Instagram, otros)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros)",Algo satisfecho,Sí,Sí,30.0,50.0,9
947,Entre 6 meses y un año,10,No realiza pedidos,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,No,"Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta",Ninguno,Visitas personales,Algo satisfecho,No,No,20.0,25.0,8
948,Entre 1 y 3 años,40,No realiza pedidos,Efectivo,No,No,"Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta",N.A,Visitas personales,Algo satisfecho,No,Sí,20.0,20.0,7
949,Entre 3 y 5 años,20,2 veces a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",Sí,Sí,"Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea","Visitas personales, Llamadas telefónicas, Mensajes de texto, Correo electrónico","Visitas personales, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Software o plataformas compartidas",Muy satisfecho,Sí,Sí,20.0,40.0,8
950,Entre 6 meses y un año,15,1 vez a la semana,Efectivo,No,No,"Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea","Visitas personales, Llamadas telefónicas",Visitas personales,Algo satisfecho,Sí,No,25.0,20.0,8
951,Más de 5 años,3,1 vez al mes,Efectivo,No,No,"Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea",Visitas personales,Visitas personales,Algo satisfecho,Sí,No,25.0,30.0,6
952,Más de 5 años,10,1 vez al mes,Efectivo,No,No,"Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea","Visitas personales, Llamadas telefónicas",Visitas personales,Algo satisfecho,No,No,30.0,35.0,1
953,Más de 5 años,10,2 veces a la semana,Efectivo,No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras)",Visitas personales,Visitas personales,Algo satisfecho,No,No,35.0,40.0,1
954,Entre 3 y 5 años,15,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas","Visitas personales, Llamadas telefónicas",Algo satisfecho,No,No,20.0,30.0,8
955,Más de 5 años,10,1 vez a la semana,Efectivo,No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta",Visitas personales,Visitas personales,Algo satisfecho,No,No,30.0,35.0,1
956,Más de 5 años,30,2 veces a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas","Visitas personales, Llamadas telefónicas",Algo satisfecho,No,No,50.0,80.0,1
957,Más de 5 años,12,2 veces a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",Sí,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas","Visitas personales, Llamadas telefónicas",Algo satisfecho,No,No,50.0,100.0,1
958,Más de 5 años,10,1 vez al día,Efectivo,No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta",Visitas personales,"Visitas personales, Llamadas telefónicas",Algo satisfecho,No,No,20.0,35.0,1
959,Más de 5 años,15,1 vez a la semana,Efectivo,No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas","Visitas personales, Llamadas telefónicas",Algo satisfecho,No,No,25.0,40.0,1
960,Más de 5 años,20,1 vez al día,Efectivo,No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta",Visitas personales,Visitas personales,Algo satisfecho,No,No,25.0,40.0,5
961,Más de 5 años,35,2 veces al día,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No sabe ,Sí,Terminal para el pago con tarjeta,Visitas personales,Visitas personales,Algo satisfecho,No sabe ,No,40.0,75.0,8
962,Entre 3 y 5 años,300,2 veces al mes,Efectivo,No,No,Terminal para el pago con tarjeta,"Visitas personales, Llamadas telefónicas, Mensajes de texto",Visitas personales,Algo satisfecho,No,No,35.0,45.0,8
963,Entre 3 y 5 años,1000,1 vez al mes,"Efectivo, Tarjeta de debito",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras)","Llamadas telefónicas, Mensajes de texto","Llamadas telefónicas, Mensajes de texto",Algo satisfecho,No,Sí,2.0,7.0,5
964,Más de 5 años,200,1 vez al día,Efectivo,No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras)","Llamadas telefónicas, Mensajes de texto","Llamadas telefónicas, Mensajes de texto",Algo insatisfecho,No,No,33.6,39.9,5
965,Entre 3 y 5 años,30,1 vez a la semana,"Efectivo, Transferencia",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras)","Llamadas telefónicas, Mensajes de texto","Llamadas telefónicas, Mensajes de texto",Algo satisfecho,No,Sí,200.0,200.0,8
966,Entre 6 meses y un año,10,2 veces al mes,Efectivo,No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras)",Mensajes de texto,Mensajes de texto,Muy insatisfecho,No,Sí,20.0,20.0,1
967,Entre 3 y 5 años,50,1 vez a la semana,Efectivo,Sí,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras)","Llamadas telefónicas, Mensajes de texto, Mensajería instantánea (Whatsapp, telegram, otros)","Llamadas telefónicas, Mensajes de texto, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros)",Muy satisfecho,No,Sí,33.6,39.9,6
968,Entre 6 meses y un año,120,2 veces al día,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras)","Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros)","Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Algo satisfecho,No,Sí,150.0,200.0,4
969,Entre 3 y 5 años,100,1 vez al día,"Efectivo, Tarjeta de debito",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras)","Llamadas telefónicas, Mensajes de texto, Mensajería instantánea (Whatsapp, telegram, otros)","Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Algo satisfecho,No,No,200.0,230.0,5
970,Entre 3 y 5 años,20,2 veces al mes,Efectivo,No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras)","Llamadas telefónicas, Mensajes de texto, Mensajería instantánea (Whatsapp, telegram, otros)","Llamadas telefónicas, Mensajes de texto",Algo insatisfecho,No,No,49.0,30.0,5
971,Entre 3 y 5 años,3,No realiza pedidos,Efectivo,No,Sí,"Redes sociales (Instagram, X, entre otras), Lavadoras y secadoras",No maneja proveedores ,Visitas personales,Muy satisfecho,No,No,15.0,20.0,10
972,Más de 5 años,130,2 veces al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito",Sí,No,"Redes sociales (Instagram, X, entre otras), Lavadoras y secadoras","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Algo satisfecho,No,No,20.0,35.0,8
973,Más de 5 años,3,1 vez al día,Efectivo,No,No,"Redes sociales (Instagram, X, entre otras), Lavadoras y secadoras","Visitas personales, Llamadas telefónicas","Visitas personales, Llamadas telefónicas",Muy satisfecho,No,No,50.0,75.0,2
974,Entre 1 y 3 años,30,1 vez al mes,"Efectivo, Tarjeta de debito, transferencias",No,No,"Redes sociales (Instagram, X, entre otras), Lavadoras y secadoras","Visitas personales, Llamadas telefónicas, Correo electrónico, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Correo electrónico, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,No,No,15.0,20.0,3
975,Entre 0 y 6 meses,100,2 veces al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,No,"Redes sociales (Instagram, X, entre otras), Lavadoras y secadoras","Mensajería instantánea (Whatsapp, telegram, otros), Redes sociales (Facebook, Instagram, otros)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Algo satisfecho,Sí,No,20.0,30.0,8
976,Entre 0 y 6 meses,200,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,Sí,Terminal para el pago con tarjeta,"Visitas personales, Llamadas telefónicas, Mensajes de texto","Visitas personales, Llamadas telefónicas, Mensajes de texto",Muy satisfecho,Sí,Sí,5.0,10.0,6
977,Entre 3 y 5 años,65,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito",Sí,No,Terminal para el pago con tarjeta,"Visitas personales, Llamadas telefónicas, Correo electrónico, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,Sí,No,80.0,105.0,3
978,Más de 5 años,3000,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,"Redes sociales (Instagram, X, entre otras)","Visitas personales, Mensajería instantánea (Whatsapp, telegram, otros)",Visitas personales,Muy satisfecho,No,No,50.0,30.0,5
979,Entre 1 y 3 años,120,1 vez al mes,Efectivo,Sí,No,"Redes sociales (Instagram, X, entre otras)","Visitas personales, Llamadas telefónicas, Correo electrónico, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,No,"si, pero nunca dan el apoyo",60.0,100.0,5
